Gender,Age,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
Female,73,1,Offer E,Yes,No,Yes,Cable,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,49.55,0.0,0,24.24,73.79,Churned,Dissatisfaction,Limited range of services
Male,30,64,mising,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,105.65,0.0,0,1550.72,8453.82,Churned,Other,Don't know
Male,31,39,mising,No,mising,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,54.85,0.0,0,0.0,2191.7,Stayed,mising,mising
Male,52,46,Offer B,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,One Year,Credit Card,56.9,0.0,0,1768.7,4328.8,Stayed,mising,mising
Male,26,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,90.75,0.0,0,23.06,113.81,Churned,Attitude,Attitude of support person
Female,45,72,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,84.2,0.0,0,2724.48,8711.03,Stayed,mising,mising
Female,35,33,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.8,0.0,0,412.83,1054.18,Stayed,mising,mising
Female,55,32,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,109.55,0.0,0,147.52,3755.52,Stayed,mising,mising
Female,44,5,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,20.5,0.0,0,123.05,227.35,Stayed,mising,mising
Female,28,2,mising,No,mising,Yes,DSL,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,45.25,0.0,10,0.0,95.5,Churned,Dissatisfaction,Product dissatisfaction
Female,29,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,80.55,0.0,0,67.78,251.88,Churned,Attitude,Attitude of support person
Female,79,17,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,One Year,Credit Card,82.65,0.0,0,18.02,1488.07,Stayed,mising,mising
Male,39,5,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,20.35,0.0,0,40.05,162.05,Stayed,mising,mising
Male,35,10,Offer D,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,24.0,0.0,0,30.1,256.65,Stayed,mising,mising
Female,40,41,Offer B,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Yes,One Year,Credit Card,56.3,0.0,0,1495.27,3859.27,Stayed,mising,mising
Female,22,63,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,99.9,0.0,0,527.94,6664.94,Churned,Price,Long distance charges
Male,37,22,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,20.15,0.0,0,1057.32,1477.22,Stayed,mising,mising
Female,32,47,Offer B,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,103.7,0.0,0,115.15,4845.75,Stayed,mising,mising
Male,41,65,Offer B,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Credit Card,74.2,0.0,0,1444.95,6250.6,Stayed,mising,mising
Female,74,8,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,-8.0,0.0,0,318.88,1227.43,Stayed,mising,mising
Male,54,10,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.2,0.0,0,356.3,1286.7,Churned,Competitor,Competitor offered more data
Female,40,9,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,77.65,0.0,0,205.92,920.07,Churned,Competitor,Competitor made better offer
Male,60,35,Offer C,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Bank Withdrawal,89.2,0.0,0,1736.35,4987.65,Stayed,mising,mising
Male,74,2,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.7,0.0,0,13.02,178.42,Churned,Competitor,Competitor made better offer
Male,67,8,mising,No,mising,Yes,Cable,No,Yes,No,No,Yes,No,Yes,Two Year,Credit Card,43.35,0.0,0,0.0,371.4,Stayed,mising,mising
Male,25,24,Offer C,No,mising,Yes,DSL,No,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,29.1,0.0,0,0.0,688.0,Stayed,mising,mising
Female,46,36,mising,No,mising,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Credit Card,53.1,0.0,0,0.0,1901.25,Stayed,mising,mising
Male,60,67,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,111.3,36.66,0,1454.57,8985.11,Stayed,mising,mising
Female,65,15,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,83.05,0.0,110,661.95,2030.25,Churned,Competitor,Competitor made better offer
Male,56,10,mising,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Two Year,Bank Withdrawal,61.9,0.0,0,299.5,918.5,Stayed,mising,mising
Female,20,1,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,No,Month-to-Month,Bank Withdrawal,78.05,0.0,10,29.41,117.46,Churned,Competitor,Competitor offered more data
Male,75,24,mising,No,mising,Yes,DSL,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,39.1,0.0,0,0.0,971.3,Churned,Competitor,Competitor had better devices
Male,39,21,mising,No,mising,Yes,DSL,No,No,Yes,No,No,No,Yes,Month-to-Month,Credit Card,36.0,0.0,0,0.0,780.15,Stayed,mising,mising
Female,52,11,Offer D,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Month-to-Month,Credit Card,58.95,0.0,70,270.27,941.87,Stayed,mising,mising
Female,75,50,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,104.95,0.0,0,882.5,6104.85,Stayed,mising,mising
Male,39,13,Offer D,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Mailed Check,19.45,0.0,0,290.03,560.23,Stayed,mising,mising
Female,49,64,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,110.3,0.0,0,1354.24,8351.54,Stayed,mising,mising
Male,19,71,mising,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,One Year,Credit Card,85.45,0.0,0,2264.19,8293.14,Stayed,mising,mising
Female,63,9,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,20.15,0.0,0,313.11,551.26,Stayed,mising,mising
Male,61,53,mising,No,mising,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,60.45,0.0,0,0.0,3184.25,Churned,Price,Lack of affordable download/upload speed
Female,56,46,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.95,0.0,0,1401.62,2328.72,Stayed,mising,mising
Male,30,63,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Credit Card,80.3,0.0,40,1189.44,6125.79,Stayed,mising,mising
Male,29,71,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,108.55,0.0,0,2269.87,9885.87,Stayed,mising,mising
Female,67,5,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,One Year,Bank Withdrawal,69.35,0.0,0,47.8,389.4,Stayed,mising,mising
Female,25,65,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,25.3,0.0,0,2211.95,3960.5,Stayed,mising,mising
Male,48,42,mising,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,100.3,0.0,0,1078.98,5301.93,Stayed,mising,mising
Male,28,24,mising,Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,54.95,0.0,0,721.68,2070.18,Stayed,mising,mising
Male,57,66,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.55,17.14,0,1361.58,2701.54,Stayed,mising,mising
Female,42,25,Offer C,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.8,0.0,0,348.25,823.45,Stayed,mising,mising
Female,45,56,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Credit Card,99.75,0.0,0,1149.68,6758.08,Stayed,mising,mising
Male,79,52,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,105.1,0.0,0,1515.8,6892.2,Stayed,mising,mising
Female,47,23,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Mailed Check,25.1,0.0,0,824.78,1436.23,Stayed,mising,mising
Female,56,25,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,26.8,0.0,0,90.0,823.55,Stayed,mising,mising
Female,33,32,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.35,0.0,0,1328.96,4663.86,Stayed,mising,mising
Female,21,16,mising,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,50.15,0.0,0,228.16,990.41,Churned,Competitor,Competitor offered higher download speeds
Female,74,23,mising,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,Two Year,Bank Withdrawal,88.45,0.0,0,46.69,2177.24,Stayed,mising,mising
Male,22,26,Offer C,No,mising,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,54.55,0.0,0,0.0,1362.85,Stayed,mising,mising
Female,56,49,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,20.05,0.0,0,1082.9,2006.0,Stayed,mising,mising
Male,68,5,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Credit Card,70.25,12.48,0,11.35,330.77,Churned,Price,Price too high
Female,36,50,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.4,0.0,0,631.0,1654.95,Stayed,mising,mising
Male,52,13,Offer D,No,mising,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Credit Card,45.55,0.0,0,0.0,597.0,Churned,Dissatisfaction,Poor expertise of online support
Female,64,28,Offer C,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,19.9,0.0,0,613.48,1156.48,Stayed,mising,mising
Female,25,49,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,19.45,0.0,0,2236.36,3157.66,Stayed,mising,mising
Female,51,18,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.05,38.65,0,133.56,1774.31,Stayed,mising,mising
Female,26,72,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,No,Yes,Yes,Two Year,Bank Withdrawal,71.45,0.0,0,2807.28,7833.13,Stayed,mising,mising
Female,43,37,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.25,0.0,0,59.2,3373.35,Stayed,mising,mising
Male,80,7,Offer E,No,mising,Yes,DSL,Yes,No,No,No,No,No,Yes,One Year,Bank Withdrawal,29.8,11.83,0,0.0,208.62,Stayed,mising,mising
Male,64,45,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,81.4,0.0,0,71.55,3847.4,Stayed,mising,mising
Male,53,19,mising,Yes,No,Yes,DSL,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,45.0,22.55,0,560.88,1404.18,Stayed,mising,mising
Male,42,29,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,19.8,0.0,0,1337.48,1909.68,Stayed,mising,mising
Male,37,61,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,103.9,0.0,0,2627.88,9077.03,Stayed,mising,mising
Male,46,4,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,-8.0,0.0,0,135.72,335.47,Stayed,mising,mising
Female,22,38,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,103.65,0.0,140,910.1,5038.6,Stayed,mising,mising
Male,23,1,mising,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Month-to-Month,Credit Card,45.05,0.0,0,48.03,93.08,Churned,Competitor,Competitor had better devices
Female,60,15,Offer D,No,mising,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,One Year,Credit Card,45.9,16.27,0,0.0,677.18,Stayed,mising,mising
Male,30,71,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,108.05,0.0,0,3508.82,11040.97,Churned,Competitor,Competitor had better devices
Male,40,52,mising,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,84.1,0.0,0,1995.24,6343.89,Churned,Competitor,Competitor had better devices
Female,60,2,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Mailed Check,20.65,0.0,0,49.42,88.12,Churned,Attitude,Attitude of support person
Male,77,24,Offer C,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,93.15,0.0,0,386.4,2617.45,Churned,Competitor,Competitor made better offer
Male,39,43,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Credit Card,75.35,0.0,0,845.38,4006.78,Stayed,mising,mising
Male,27,2,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,46.05,0.0,10,59.38,149.73,Churned,Attitude,Attitude of service provider
Male,21,24,Offer C,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,49.7,0.0,0,89.28,1307.53,Stayed,mising,mising
Male,78,41,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,99.8,8.88,0,924.96,5175.38,Churned,Dissatisfaction,Product dissatisfaction
Female,49,14,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,87.25,0.0,0,408.52,1667.12,Churned,Competitor,Competitor made better offer
Female,57,64,mising,Yes,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Credit Card,68.3,0.0,0,1490.56,5869.36,Stayed,mising,mising
Male,38,72,Offer A,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.4,0.0,0,3564.0,4927.25,Stayed,mising,mising
Female,29,27,mising,Yes,No,Yes,Cable,No,No,Yes,No,No,No,Yes,Month-to-Month,Mailed Check,56.15,0.0,0,35.37,1474.72,Stayed,mising,mising
Male,79,35,mising,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Bank Withdrawal,73.0,0.0,0,106.4,2577.65,Stayed,mising,mising
Female,62,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,68.65,0.0,0,12.4,81.05,Churned,Price,Price too high
Male,74,43,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Mailed Check,89.55,0.0,0,1682.16,5538.91,Churned,Dissatisfaction,Network reliability
Female,69,53,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,One Year,Credit Card,95.85,18.85,0,1594.77,6592.17,Stayed,mising,mising
Female,50,17,mising,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,One Year,Mailed Check,55.85,0.0,0,413.27,1350.77,Churned,Price,Price too high
Female,67,20,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Credit Card,85.8,0.0,0,585.8,2313.3,Churned,Price,Price too high
Male,33,6,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,19.15,0.0,0,63.24,187.64,Stayed,mising,mising
Female,52,61,mising,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,89.65,0.0,0,1430.45,6739.15,Stayed,mising,mising
Female,74,4,mising,Yes,Yes,Yes,Cable,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,89.2,0.0,0,193.4,539.6,Churned,Competitor,Competitor had better devices
Male,24,1,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,80.5,0.0,0,35.77,116.27,Churned,Dissatisfaction,Product dissatisfaction
Female,50,68,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Yes,One Year,Bank Withdrawal,83.65,46.99,0,1083.92,6770.33,Stayed,mising,mising
Male,49,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,79.25,0.0,0,19.98,99.23,Churned,Dissatisfaction,Service dissatisfaction
Female,54,2,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Credit Card,80.6,0.0,0,10.64,166.44,Churned,Competitor,Competitor made better offer
Female,41,45,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Credit Card,89.3,44.63,0,635.4,4607.62,Churned,Dissatisfaction,Poor expertise of online support
Female,64,40,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,84.85,0.0,0,81.2,3384.25,Churned,Competitor,Competitor made better offer
Female,38,34,mising,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,105.1,0.0,0,95.88,3730.68,Stayed,mising,mising
Female,49,13,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,85.95,0.0,0,379.73,1595.38,Stayed,mising,mising
Female,64,1,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,20.25,0.0,0,10.71,30.96,Churned,Attitude,Attitude of support person
Female,36,35,mising,No,mising,Yes,DSL,No,No,Yes,Yes,No,No,Yes,One Year,Credit Card,40.9,0.0,0,0.0,1383.6,Stayed,mising,mising
Male,63,35,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,19.9,0.0,0,848.05,1514.05,Stayed,mising,mising
Male,75,72,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Two Year,Credit Card,102.65,0.0,0,2052.0,9602.3,Stayed,mising,mising
Female,27,12,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.45,0.0,0,429.72,657.17,Stayed,mising,mising
Male,64,69,Offer A,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Bank Withdrawal,75.75,0.0,0,3058.77,8446.92,Stayed,mising,mising
Male,68,57,mising,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Two Year,Bank Withdrawal,104.9,1.69,90,1830.84,7833.1,Stayed,mising,mising
Female,61,35,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,70.3,0.0,80,365.05,2861.6,Churned,Other,Moved
Male,47,69,mising,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,86.9,0.0,0,1818.15,8012.25,Stayed,mising,mising
Female,50,63,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,One Year,Bank Withdrawal,107.5,0.0,60,121.59,7055.34,Churned,Attitude,Attitude of support person
Female,58,41,mising,Yes,No,Yes,DSL,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,45.2,0.0,0,1596.54,3438.44,Stayed,mising,mising
Female,47,47,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,21.3,0.0,0,185.65,1227.45,Stayed,mising,mising
Male,31,72,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,117.8,0.0,0,2510.64,11195.44,Churned,Competitor,Competitor offered higher download speeds
Female,26,59,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Credit Card,79.85,0.0,0,114.46,4900.56,Stayed,mising,mising
Female,20,18,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.35,0.0,0,360.0,669.25,Stayed,mising,mising
Female,19,25,Offer C,No,mising,Yes,Cable,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,34.0,0.0,0,0.0,853.0,Churned,Competitor,Competitor had better devices
Male,46,40,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,One Year,Bank Withdrawal,80.8,0.0,0,518.8,3651.55,Stayed,mising,mising
Female,30,21,mising,No,mising,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Bank Withdrawal,55.95,0.0,10,0.0,1167.05,Churned,Attitude,Attitude of service provider
Male,36,68,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,One Year,Credit Card,101.05,0.0,0,2354.16,9124.66,Stayed,mising,mising
Female,73,70,Offer A,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.55,0.0,0,1113.0,2575.05,Stayed,mising,mising
Female,24,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Two Year,Bank Withdrawal,84.05,0.0,0,1162.8,7215.05,Stayed,mising,mising
Female,21,11,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,20.6,0.0,0,21.12,255.02,Stayed,mising,mising
Female,40,56,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,24.95,0.0,0,1627.36,3096.26,Stayed,mising,mising
Female,41,36,Offer C,No,mising,Yes,Cable,No,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,34.85,0.0,0,0.0,1267.2,Stayed,mising,mising
Male,42,37,mising,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,90.6,8.96,0,1647.24,4996.93,Stayed,mising,mising
Female,50,39,mising,No,mising,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,55.9,0.0,0,0.0,2184.35,Churned,Dissatisfaction,Lack of self-service on Website
Male,29,18,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Credit Card,80.55,0.0,0,739.44,2146.09,Stayed,mising,mising
Male,29,19,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,84.75,49.38,0,216.98,1819.55,Stayed,mising,mising
Female,36,4,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,76.65,0.0,0,96.36,429.96,Churned,Other,Moved
Female,76,38,mising,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Two Year,Bank Withdrawal,83.45,24.98,0,129.96,3252.13,Stayed,mising,mising
Male,38,10,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,19.7,0.0,0,462.3,659.84,Stayed,mising,mising
Male,28,56,mising,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,100.55,0.0,0,2626.4,8141.35,Stayed,mising,mising
Female,37,30,Offer C,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Yes,One Year,Credit Card,68.95,0.0,0,679.2,2717.9,Stayed,mising,mising
Male,64,72,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,88.7,0.0,0,2061.36,8562.71,Stayed,mising,mising
Female,26,8,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,20.2,0.0,0,42.16,183.11,Stayed,mising,mising
Female,64,53,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Bank Withdrawal,104.05,0.0,0,1503.08,7069.48,Stayed,mising,mising
Male,44,46,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Yes,One Year,Bank Withdrawal,94.65,0.0,0,465.98,4778.48,Stayed,mising,mising
Female,31,6,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,20.7,0.0,0,46.32,159.07,Stayed,mising,mising
Female,22,8,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.2,0.0,0,310.64,1087.94,Churned,Competitor,Competitor had better devices
Female,21,56,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,One Year,Bank Withdrawal,98.25,0.0,150,1072.96,6731.31,Churned,Competitor,Competitor made better offer
Female,29,31,Offer C,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Credit Card,65.25,0.0,120,965.34,3079.64,Churned,Competitor,Competitor offered higher download speeds
Male,76,13,mising,Yes,No,Yes,DSL,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,59.9,0.0,0,648.7,1437.05,Stayed,mising,mising
